Sonja,2018-05-15
Ronald,2018-05-16
Ronny,2018-05-16
Rebecka,2018-05-17
Ruben,2018-05-17
Erik,2018-05-18
Maj,2018-05-19
Majken,2018-05-19
Carola,2018-05-20
Karolina,2018-05-20
Conny,2018-05-21
Konstantin,2018-05-21
Hemming,2018-05-22
Henning,2018-05-22
Desideria,2018-05-23
Desirée,2018-05-23
Ivan,2018-05-24
Vanja,2018-05-24
Urban,2018-05-25
Vilhelmina,2018-05-26
Vilma,2018-05-26
Beda,2018-05-27
Blenda,2018-05-27
Borghild,2018-05-28
Ingeborg,2018-05-28
Jeanette,2018-05-29
Yvonne,2018-05-29
Vera,2018-05-30
Veronika,2018-05-30
Pernilla,2018-05-31
Petronella,2018-05-31
Gun,2018-06-01
Gunnel,2018-06-01
Roger,2018-06-02
Rutger,2018-06-02
Gudmar,2018-06-03
Ingemar,2018-06-03
Solbritt,2018-06-04
Solveig,2018-06-04
Bo,2018-06-05
Gustav,2018-06-06
Gösta,2018-06-06
Robert,2018-06-07
Robin,2018-06-07
Eivor,2018-06-08
Majvor,2018-06-08
Birger,2018-06-09
Börje,2018-06-09
Boris,2018-06-10
Svante,2018-06-10
Berthold,2018-06-11
Bertil,2018-06-11
Eskil,2018-06-12
Aina,2018-06-13
Aino,2018-06-13
Hakon,2018-06-14
Håkan,2018-06-14
Margit,2018-06-15
Margot,2018-06-15
Axel,2018-06-16
Axelina,2018-06-16
Torborg,2018-06-17
Torvald,2018-06-17
Bjarne,2018-06-18
Björn,2018-06-18
Germund,2018-06-19
Görel,2018-06-19
Linda,2018-06-20
Alf,2018-06-21
Alvar,2018-06-21
Paula,2018-06-22
Paulina,2018-06-22
Adolf,2018-06-23
Alice,2018-06-23
Johannes Döparens dag,2018-06-24
David,2018-06-25
Salomon,2018-06-25
Lea,2018-06-26
Rakel,2018-06-26
Fingal,2018-06-27
Selma,2018-06-27
Leo,2018-06-28
Peter,2018-06-29
Petra,2018-06-29
Elof,2018-06-30
Leif,2018-06-30
Mirjam,2018-07-01
Aron,2018-07-01
Rosa,2018-07-02
Rosita,2018-07-02
Aurora,2018-07-03
Ulla,2018-07-04
Ulrika,2018-07-04
Laila,2018-07-05
Ritva,2018-07-05
Esaias,2018-07-06
Jessika,2018-07-06
Klas,2018-07-07
Kjell,2018-07-08
Jörgen,2018-07-09
Örjan,2018-07-09
André,2018-07-10
Andrea,2018-07-10
Eleonora,2018-07-11
Ellinor,2018-07-11
Herman,2018-07-12
Hermine,2018-07-12
Joel,2018-07-13
Judit,2018-07-13
Folke,2018-07-14
Ragnhild,2018-07-15
Ragnvald,2018-07-15
Reine,2018-07-16
Reinhold,2018-07-16
Bruno,2018-07-17
Fredrik,2018-07-18
Fritz,2018-07-18
Sara,2018-07-19
Greta,2018-07-20
Margareta,2018-07-20
Johanna,2018-07-21
Madeleine,2018-07-22
Magdalena,2018-07-22
Emma,2018-07-23
Kerstin,2018-07-24
Kristina,2018-07-24
Jakob,2018-07-25
Jasmine,2018-07-26
Jesper,2018-07-26
Marta,2018-07-27
Botvid,2018-07-28
Seved,2018-07-28
Olof,2018-07-29
Algot,2018-07-30
Elin,2018-07-31
Helena,2018-07-31
Per,2018-08-01
Kajsa,2018-08-02
Karin,2018-08-02
Tage,2018-08-03
Arne,2018-08-04
Arnold,2018-08-04
Ulrik,2018-08-05
Alrik,2018-08-05
Inez,2018-08-06
Alfons,2018-08-06
Denise,2018-08-07
Dennis,2018-08-07
Silvia,2018-08-08
Sylvia,2018-08-08
Roland,2018-08-09
Lars,2018-08-10
Susanna,2018-08-11
Klara,2018-08-12
Kaj,2018-08-13
Uno,2018-08-14
Estelle,2018-08-15
Stella,2018-08-15
Brynolf,2018-08-16
Valter,2018-08-17
Verner,2018-08-17
Ellen,2018-08-18
Lena,2018-08-18
Magnus,2018-08-19
Måns,2018-08-19
Bernhard,2018-08-20
Bernt,2018-08-20
Jon,2018-08-21
Jonna,2018-08-21
Henrietta,2018-08-22
Henrika,2018-08-22
Signe,2018-08-23
Signhild,2018-08-23
Bartolomeus,2018-08-24
Louise,2018-08-25
Lovisa,2018-08-25
Östen,2018-08-26
Raoul,2018-08-27
Rolf,2018-08-27
Fatima,2018-08-28
Leila,2018-08-28
Hampus,2018-08-29
Hans,2018-08-29
Albert,2018-08-30
Albertina,2018-08-30
